filename,created_at,taxon,taxon_original,Check,habit,root_system,height_min,height_low,height_high,height_max,height_unit,inflorescence_type,inflorescence_shape,inflorescence_length_min,inflorescence_length_low,inflorescence_length_high,inflorescence_length_max,inflorescence_length_unit,inflorescence_width_min,inflorescence_width_low,inflorescence_width_high,inflorescence_width_max,inflorescence_width_unit,inflorescence_peduncle_length_min,inflorescence_peduncle_length_low,inflorescence_peduncle_length_high,inflorescence_peduncle_length_max,inflorescence_peduncle_length_unit,flower_merosity,pedicel_length_min,pedicel_length_low,pedicel_length_high,pedicel_length_max,pedicel_length_unit,pedicel_width_min,pedicel_width_low,pedicel_width_high,pedicel_width_max,pedicel_width_unit,bisexual_flowers_presence,male_flowers_presence,heteromorphic_flower_presence,sterile_flower_presence,calyx_shape,calyx_length_min,calyx_length_low,calyx_length_high,calyx_length_max,calyx_length_unit,calyx_lobe_length_min,calyx_lobe_length_low,calyx_lobe_length_high,calyx_lobe_length_max,calyx_lobe_length_unit.,corolla_length_min,corolla_length_low,corolla_length_high,corolla_length_max,corolla_length_unit,corolla_lobe_length_min,corolla_lobe_length_low,corolla_lobe_length_high,corolla_lobe_length_max,corolla_lobe_length_unit,corolla_lobe_width_min,corolla_lobe_width_low,corolla_lobe_width_high,corolla_lobe_width_max,corolla_lobe_width_unit,stamen_count,filament_length_min,filament_length_low,filament_length_high,filament_length_max,filament_length_unit,filament_color,anther_gland_presence,stemonozone_presence,stamen_tube_presence,staminal_tube_presence,intrastaminal_nectary_presence,nectary_presence,clade
inga_treatment_0032.txt,2025-10-03T21:21:58.155731,Inga_sertulifera,Inga sertulifera,1,NA,NA,NA,15,20,30,m,Umbellate,NA,NA,2.5,4,NA,mm,NA,NA,NA,NA,NA,NA,2.5,7.5,NA,cm,NA,7,NA,20,NA,mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,tubular,NA,1.7,3,NA,mm,0.1,NA,1,NA,mm,NA,6,9,NA,mm,1.5,NA,3,NA,mm,NA,NA,NA,NA,NA,25-50,1.1,1.1,1.7,1.7,cm,white,NA,NA,present,present,NA,,Inga clade
inga_treatment_0197.txt,2025-10-04T01:26:09.331989,Inga_sierrae,Inga sierrae,1,tree,NA,NA,NA,20,NA,m,spike,congested,1,NA,3.5,NA,cm,NA,NA,NA,NA,NA,2,NA,10,NA,cm,5-merous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,13,NA,mm,1,1,3,3,mm,NA,1.7,1.9,NA,cm,NA,4,NA,NA,mm,NA,NA,NA,NA,NA,80,NA,2,2.5,NA,cm,white,NA,NA,NA,present,NA,,Inga clade
inga_treatment_0117.txt,2025-10-04T00:35:16.483846,Inga_stenoptera,Inga stenoptera,1,tree,NA,NA,15,20,30,m,spike,congested,NA,0.5,2,NA,cm,NA,NA,NA,NA,NA,1.5,NA,6,NA,cm,5-merous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tubular to narrowly funnel-shaped,NA,3,5,NA,mm,0.5,0.5,2,2,mm,NA,0.7,1.1,1.4,cm,1.5,1.5,3,NA,mm,NA,NA,NA,NA,NA,40-65,1,1,2,2,cm,cream-coloured,NA,NA,present,present,NA,,Inga clade
inga_treatment_0116.txt,2025-10-04T00:34:37.469015,Inga_tenuicalyx,Inga tenuicalyx,1,tree,NA,NA,NA,5,NA,m,spike,NA,2,2,3.5,3.5,cm,NA,NA,NA,NA,NA,3.5,3.5,5,5,cm,5-merous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,funnel-shaped,6,6,10,10,mm,2,2,5,5,mm,NA,11.5,NA,NA,mm,NA,1.5,NA,NA,mm,NA,NA,NA,NA,NA,55-60,NA,2,NA,NA,cm,white,NA,NA,NA,present,NA,,Inga clade
inga_treatment_0180.txt,2025-10-04T01:15:09.943378,Inga_tonduzii,Inga tonduzii,1,Tree,NA,NA,NA,25,NA,m,spike,NA,2,2,3,NA,cm,NA,NA,NA,NA,NA,1.3,NA,3,NA,cm,5-merous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11,NA,mm,NA,3,3,NA,mm,NA,2,2.2,NA,mm,4,4,5,5,mm,NA,NA,NA,NA,NA,100-110,NA,3,NA,NA,cm,pale cream-coloured,NA,NA,present,present,NA,,Inga clade
inga_treatment_0048.txt,2025-10-03T21:32:33.739147,Inga_umbellifera,Inga umbellifera,1,tree,NA,NA,NA,20,NA,m,umbellate,globose,1.5,NA,4,NA,mm,NA,NA,NA,NA,NA,NA,1.2,5,NA,cm,NA,0.7,NA,2,NA,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,tubular,NA,1.75,4,NA,mm,0.25,NA,1,NA,mm,NA,5,9,NA,mm,1,NA,2.5,NA,mm,NA,NA,NA,NA,NA,25-40,1.5,1.5,2,2,cm,white,NA,NA,NA,present,NA,,Inga clade
inga_treatment_0065.txt,2025-10-03T21:43:49.280938,Inga_umbratica,Inga umbratica,1,tree,NA,NA,NA,20,NA,m,umbellate,NA,NA,1.5,2,NA,mm,NA,NA,NA,NA,NA,3,NA,12,NA,mm,5-merous,NA,0.75,5,NA,mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,tubular,NA,1,NA,NA,mm,NA,0.25,0.3,NA,mm,NA,4,5,NA,mm,NA,0.75,1.5,NA,mm,NA,NA,NA,NA,NA,20-55,6,6,12,12,mm,white,NA,NA,NA,present,NA,,Inga clade
Mem. New York Bot. Gard. 64: 203 (1990),NA,Jacqueshuberia_brevipes,Jacqueshuberia brevipes,,,,NA,NA,NA,NA,,,,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,NA,NA,NA,NA,,,,,,,,,outgroup
Brittonia 37: 294 (1985),NA,Jacqueshuberia_loretensis,Jacqueshuberia loretensis,,Tree,,20,NA,NA,NA,m,Terminal,compound-racemose,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,NA,18,25,NA,,NA,NA,NA,NA,,,,,,,NA,3.5,7,NA,,NA,NA,,NA,,NA,8,8.5,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,NA,26,55,NA,,red,,,,,,,outgroup
Barneby_and_Grimes_1996_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_I_treatment_0061.txt,2025-10-02T19:17:44.316474,Jupunba_abbottii,Abarema abbottii,1,trees,NA,4,NA,12,NA,m,capitula,subumbellate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.5,4,NA,cm,5-merous,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,NA,2.2,3,NA,mm,NA,0.2,0.3,NA,mm,NA,6,7,NA,mm,NA,1.8,2.5,NA,mm,NA,1,1.3,NA,mm,27-36,NA,16,21,NA,mm,,NA,present,,,,,Jupunba clade
Barneby_and_Grimes_1996_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_I_treatment_0032.txt,2025-10-02T18:59:28.591799,Jupunba_adenophora,Abarema adenophora,1,trees,NA,NA,12,30,NA,m,racemes,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,2.5,6,NA,cm,5-merous,NA,4.5,6,NA,mm,NA,0.5,0.7,NA,mm,,,yes,,,NA,1.6,3,5,mm,NA,0.5,0.9,NA,mm,NA,3.7,5.5,9,mm,NA,1.2,2.2,NA,mm,NA,NA,NA,NA,,15-17,NA,14,15,NA,mm,,NA,present,present,,,,Jupunba clade
Barneby_and_Grimes_1996_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_I_treatment_0040.txt,2025-10-02T19:04:31.505427,Jupunba_cochleata,Abarema cochleata,1,tree,NA,2,3,20,25,m,capitula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.5,4.5,5.5,cm,5-merous,0.8,1,2.8,NA,mm,NA,NA,NA,NA,NA,NA,NA,yes,NA,"turbinate-campanulate, obtusely 5-angulate",1.8,1.8,2.4,2.8,mm,0.25,0.25,0.5,0.5,mm,NA,4.5,5.4,7,mm,NA,1.2,1.4,1.9,mm,NA,NA,NA,NA,NA,12-22,NA,14,23,NA,mm,NA,NA,present,NA,present,NA,,Jupunba clade
Barneby_and_Grimes_1996_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_I_treatment_0020.txt,2025-10-02T18:51:58.664616,Jupunba_ganymedea,Abarema ganymedea,1,trees,NA,NA,NA,20,NA,m,capitula,NA,NA,NA,10,NA,mm,NA,NA,NA,NA,NA,1.5,NA,4,NA,cm,5-merous,NA,0.5,0.8,NA,mm,NA,NA,NA,NA,NA,NA,present,present,NA,NA,NA,1.8,2.8,NA,mm,0.3,0.3,0.5,0.5,mm,NA,4,4.2,6.5,mm,NA,1.7,1.7,NA,mm,NA,0.7,0.7,NA,mm,10,NA,NA,15.5,NA,mm,NA,NA,Almost 0,present,NA,NA,,Jupunba clade
Barneby_and_Grimes_1996_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_I_treatment_0014.txt,2025-10-02T18:48:13.147735,Jupunba_longipedunculata,Abarema longipedunculata,1,shrubs and trees,NA,2,NA,20,NA,m,capitula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,12.5,NA,cm,5-merous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Probably dimorphic but terminal one not observed,NA,narrowly campanulate,5,NA,7.3,NA,mm,0.6,NA,1.8,NA,mm,NA,8,9.5,NA,mm,NA,2,NA,NA,mm,NA,NA,NA,NA,NA,30-36,NA,NA,NA,NA,NA,Probably white,NA,present,NA,NA,NA,,Jupunba clade
Barneby_and_Grimes_1996_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_I_treatment_0059.txt,2025-10-02T19:16:32.780607,Jupunba_oppositifolia,Abarema oppositifolia,1,trees,NA,NA,3,12,NA,m,capitula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,9,9,cm,5-merous,1,1,2,2,mm,NA,NA,NA,NA,NA,NA,NA,homomorphic,NA,NA,3.4,3.4,4.2,4.2,mm,0.4,0.4,0.7,0.7,mm,NA,6,7.2,NA,mm,NA,2.4,2.9,NA,mm,NA,1.2,1.5,NA,mm,43-52,NA,12,15,NA,mm,NA,NA,present,present,NA,NA,,Jupunba clade
Barneby_and_Grimes_1996_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_I_treatment_0050.txt,2025-10-02T19:10:50.120847,Jupunba_turbinata,Abarema turbinata,1,trees,NA,,4,9,NA,m,capitula,NA,NA,1,2,NA,cm,NA,NA,NA,NA,NA,NA,7,17,NA,cm,5-merous,NA,NA,1.5,NA,mm,NA,NA,NA,NA,NA,NA,NA,yes,NA,turbinate,3.5,3.5,4.5,4.5,mm,NA,0.7,1.2,NA,mm,NA,6.5,6.5,NA,mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16-28(32),NA,21,36,NA,mm,NA,NA,present,present,NA,NA,,Jupunba clade
"Du Puy, D.J., Labat, N.-N., Rabevohitra, R., Villiers, J.-F., Bosser, J. & Moat, J. (2002). The Leguminosae of Madagascar: 1-737. Royal Botanic Gardens, Kew.",NA,Lemurodendron_capuronii,Lemurodendron capuronii,1,tree,,30,NA,NA,NA,m,spike,Terminal panicle,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,Basal flowers sterile,,NA,1.25,1.5,NA,mm,NA,NA,,NA,,3.3,3.5,4,NA,mm,NA,NA,NA,NA,,NA,NA,NA,NA,,10(12),NA,4.5,7,NA,mm,,yes,,,,,,Dichrostachys clade
"Hughes, C., 1998. Monograph of Leucaena (Leguminosae-Mimosoideae).",NA,Leucaena_cuspidata,Leucaena cuspidata,1,tree,,NA,2,4,6,m,capitula,,,13,16,NA,mm,NA,13,16,NA,mm,NA,26,35,NA,mm,5,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,NA,2.5,3,NA,mm,NA,NA,,NA,,NA,3.8,4.2,NA,mm,NA,NA,NA,NA,,NA,NA,NA,NA,,10,NA,5.5,7.5,NA,mm,pale creamy white,,,,,,,Dichrostachys clade
"Hughes, C., 1998. Monograph of Leucaena (Leguminosae-Mimosoideae).",NA,Leucaena_esculenta,Leucaena esculenta,1,tree,,3,10,15,20,m,capitula,,,25,30,NA,mm,NA,25,28,NA,mm,NA,25,30,NA,mm,5,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,NA,2.6,4,NA,mm,NA,NA,,NA,,NA,4.2,5.5,NA,mm,NA,NA,NA,NA,,NA,NA,NA,NA,,10,NA,12,13.8,NA,mm,white,,,,,,,Dichrostachys clade
"Hughes, C., 1998. Monograph of Leucaena (Leguminosae-Mimosoideae).",NA,Leucaena_pulverulenta,Leucaena pulverulenta,1,tree,,NA,5,18,20,m,capitula,,,15,20,NA,mm,NA,15,20,NA,mm,NA,25,35,NA,mm,5,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,NA,1.3,1.5,NA,mm,NA,NA,,NA,,NA,3.8,4.1,NA,mm,NA,NA,NA,NA,,NA,NA,NA,NA,,10,NA,5.5,6.3,NA,mm,pale cream-white,,,,,,,Dichrostachys clade
"Hughes, C., 1998. Monograph of Leucaena (Leguminosae-Mimosoideae).",NA,Leucaena_retusa,Leucaena retusa,1,tree,,NA,2,5,8,m,capitula,,,20,25,NA,mm,NA,20,25,NA,mm,NA,25,90,NA,mm,5,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,NA,4.2,4.5,NA,mm,NA,NA,,NA,,NA,5.4,6.6,NA,mm,NA,NA,NA,NA,,NA,NA,NA,NA,,10,NA,12,13.5,NA,mm,bright yellow,,absent,,,,,Dichrostachys clade
"Hughes, C., 1998. Monograph of Leucaena (Leguminosae-Mimosoideae).",NA,Leucaena_trichodes,Leucaena trichodes,1,"tree, shrub",,1,3,10,15,m,capitula,,,8,12,NA,mm,NA,8,12,NA,mm,6,10,18,NA,mm,5,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,NA,1.3,2.6,NA,mm,NA,NA,,NA,,NA,2.3,3.3,NA,mm,NA,NA,NA,NA,,NA,NA,NA,NA,,10,NA,4,6.3,NA,mm,creamy white,,,,,,,Dichrostachys clade
"Barneby, R.C. and Grimes, J., 1996. Silk tree, guanacaste, monkey's earring: a generic system of the synandrous Mimosaceae of the Americas. Part I. Abarema, Albizia, and allies. Memoirs of the New York Botanical Garden, 74(1).",NA,Lysiloma_watsonii,Lysiloma watsonii,1,tree,,NA,NA,NA,NA,,"capituliform, suborbicular",,,3,8,NA,mm,NA,NA,NA,NA,,NA,NA,NA,NA,,,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,NA,NA,NA,NA,,,,,,,,,Cojoba clade
Barneby_and_Grimes_1996_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_I_treatment_0122.txt,2025-10-02T19:56:21.826260,Macrosamanea_simabifolia,Macrosamanea simabifolia,1,shrubs,NA,2,NA,6,8,m,capitula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mm,2,2.5,5,NA,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cylindric or slightly dilated above middle,5,5,6.5,6.5,mm,0.8,0.8,1.3,1.3,mm,13,13,22,22,mm,2,2,4,4,mm,NA,NA,NA,NA,NA,30-50(55),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
"Maslin, B. 2001. Flora of Australia, Mimosaceae, Acacia.",NA,Mariosousa_centralis,Acacia centralis,,,,NA,NA,NA,NA,,,,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,NA,NA,NA,NA,,,,,,,,,Senegalia grade
"Maslin, B. 2001. Flora of Australia, Mimosaceae, Acacia.",NA,Mariosousa_heterophylla,Acacia willardiana,,,,NA,NA,NA,NA,,,,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,NA,NA,NA,NA,,,,,,,,,Senegalia grade
"Lewis GP, Lima MPM (1991) Pseudopiptadenia Rauschert no Brasil (Leguminosae- Mimosoideae). Ou Morim, M.P. 2020. Pseudopiptadenia in Flora do Brasil 2020. Jardim Botânico do Rio de Janeiro.:https://monografiasfloradobrasil.jbrj.gov.br/pseudopiptadenia.pdf",NA,Marlimorimia_psilostachya,Pseudopiptadenia psilostachya,1,tree,,NA,NA,NA,45,m,spike,,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,5,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,NA,2,3,NA,mm,NA,NA,,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,10,NA,NA,NA,NA,,,Present,,,,,,Stryphnodendron clade
"Luckow, M. (1993). Monograph of Desmanthus (leguminosae-mimosoideae). Systematic Botany Monographs, 1-166.",NA,Mezcala_balsensis,Desmanthus balsensis,1,Tree or shrub,,NA,1,3.5,NA,m,head,,,NA,NA,NA,,NA,NA,NA,NA,,NA,1,3,NA,cm,5,NA,NA,NA,NA,,NA,NA,NA,NA,,,yes,,yes,,1,1.4,1.75,2.7,mm,NA,0.3,0.5,NA,mm,2,2.5,3.0,NA,mm,NA,NA,NA,NA,,NA,NA,NA,NA,,10,2.5,3.5,5.5,NA,mm,white,With a stalked spherical apical gland,,,,,,Dichrostachys clade
Barneby_1991_Sensitivae_Censitae_treatment_0044.txt,"2025-07-09T11:37:49,769",Mimosa_adenantheroides,Mimosa adenantheroides,1,arborescent shrubs,,NA,1,4,5,m,capitula,"oblong-ellipsoid, spiciform, cylindric, or amentiform",NA,8,20,NA,mm,NA,6.5,7.5,NA,mm,NA,1,3.5,NA,cm,5-merous,NA,0,0.4,NA,mm,NA,NA,NA,NA,,yes,NA,NA,NA,campanulate,1.2,1.2,2.1,2.1,mm,0.2,0.2,0.5,0.5,mm,NA,2.6,3.7,NA,mm,NA,NA,NA,NA,,NA,NA,NA,NA,,10,NA,5,7,NA,mm,whitish or pale pink,absent,absent,absent,,NA,,Mimosa clade
Barneby_1991_Sensitivae_Censitae_treatment_0664.txt,"2025-07-10T00:19:17,378",Mimosa_affinis,Mimosa affinis,1,herbs,,NA,NA,NA,NA,,capitula,,NA,3,NA,NA,mm,NA,3,NA,NA,mm,NA,NA,NA,NA,,,NA,NA,NA,NA,,NA,NA,NA,NA,,yes,Lower ones staminates,dimorphic,NA,,NA,0.1,0.3,NA,mm,NA,NA,NA,NA,,NA,2,2,NA,mm,NA,NA,NA,NA,,NA,NA,NA,NA,,,NA,3,3,NA,mm,,absent,NA,,,NA,,Mimosa clade
Barneby_1991_Sensitivae_Censitae_treatment_0539.txt,7/9/2025 22:04,Mimosa_albida,Mimosa albida,1,"herbs, bushy shrubs, weakly woody sarmentose vines and treelets",,NA,NA,3,4,m,capitula,globose,NA,4.5,6.5,7,mm,NA,NA,NA,NA,NA,NA,1,4,4.7,cm,4-merous,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,minute,NA,0.15,0.4,NA,mm,NA,NA,NA,NA,,NA,2,2.6,NA,mm,0.5,0.7,NA,NA,mm,NA,0.4,0.6,NA,mm,4,NA,4,7.5,NA,mm,"lilac-, roseor magenta-pink",absent,NA,,,NA,,Mimosa clade
Barneby_1991_Sensitivae_Censitae_treatment_0309.txt,7/9/2025 16:52,Mimosa_antioquensis,Mimosa antioquiensis,1,shrubs,,NA,2,8,NA,m,capitula,globose or plumply ellipsoid,NA,5,6.5,NA,mm,NA,NA,NA,NA,NA,NA,10,14,NA,mm,5-merous,NA,NA,NA,NA,,NA,NA,NA,NA,,yes,NA,NA,NA,shallowly or narrowly campanulate,0.4,0.4,1,1,mm,NA,NA,NA,NA,,1.9,1.9,2.7,2.7,mm,0.6,0.9,0.9,NA,mm,0.2,0.2,0.4,0.4,mm,5,1.5,1.5,2,2,mm,,absent,NA,,,NA,,Mimosa clade
Barneby_1991_Sensitivae_Censitae_treatment_0104.txt,"2025-07-09T12:51:31,413",Mimosa_arenosa,Mimosa arenosa,1,"subshrubs, shrubs and trees",,1,2,6,NA,m,spikes,,3,3.5,7,NA,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,,4-merous,NA,NA,NA,NA,,NA,NA,NA,NA,,,In some spike many staminate,NA,NA,Shallowly or shortly campanulate,NA,0.35,0.75,0.85,mm,0.1,0.1,0.2,0.2,mm,NA,2,2.5,NA,mm,1,1.4,NA,NA,mm,NA,0.7,0.9,NA,mm,8,3,3.5,5,6,mm,"white or cream-white, exceptionally pallid-roseate in fading",absent,NA,,,NA,,Mimosa clade
Barneby_1991_Sensitivae_Censitae_treatment_0171.txt,7/9/2025 14:13,Mimosa_bahamensis,Mimosa bahamensis,1,shrubs and treelets,,NA,2,4.5,9,m,capitula,globose,NA,NA,NA,NA,,NA,5.5,6.5,NA,mm,NA,7,15,NA,mm,4(-5)-merous,NA,NA,NA,NA,,NA,NA,NA,NA,,yes,NA,NA,NA,campanulate,NA,1,1.3,NA,mm,NA,0.1,0.3,NA,mm,NA,2.6,3,NA,mm,0.8,1.1,NA,NA,mm,NA,0.7,0.9,NA,mm,8(10),NA,3,4.5,NA,mm,pink,absent,NA,,,NA,,Mimosa clade
Barneby_1991_Sensitivae_Censitae_treatment_0145.txt,7/9/2025 13:41,Mimosa_bimucronata,Mimosa bimucronata,1,Trees and bushy treelets,,2,3,8,10,m,capitula,globose,NA,NA,NA,NA,NA,NA,4.5,5,6,mm,6,16,20,NA,mm,4 (5)-merous,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,Pistil of some lower flowers rudimentary,NA,NA,campanulate,NA,0.55,0.9,NA,mm,NA,0.05,0.15,NA,mm,NA,2,2.8,NA,mm,0.8,1.1,NA,NA,mm,NA,0.6,0.8,NA,mm,8(10),NA,4.5,6,NA,mm,white,absent,NA,,,NA,,Mimosa clade
Barneby_1991_Sensitivae_Censitae_treatment_0335.txt,7/9/2025 17:21,Mimosa_bonplandii,Mimosa bonplandii,1,shrub or treelet,,NA,1,3,NA,m,capitula,globose,NA,NA,NA,NA,,3.5,4,5.5,NA,mm,,2.5,11,,mm,4-merous,NA,NA,NA,NA,,NA,NA,NA,NA,,yes,NA,NA,NA,cup-shaped,0.4,0.4,0.5,0.5,mm,NA,NA,NA,NA,,NA,2,2.6,NA,mm,0.7,0.9,NA,NA,mm,0.8,NA,1,NA,mm,4,NA,2,3,NA,mm,pale yellow,absent,NA,,,NA,,Mimosa clade
Barneby_1991_Sensitivae_Censitae_treatment_0100.txt,"2025-07-09T12:46:43,251",Mimosa_borealis,Mimosa borealis,1,shrubs,,NA,NA,12,NA,dm,capitula,"umbelliform, spherical or hemispherical",5,5,7,7,mm,NA,NA,NA,NA,NA,7,10,23,NA,mm,4- or 5-merous,NA,0.4,1,NA,mm,NA,NA,NA,NA,,NA,NA,NA,NA,turbinate,NA,0.5,0.8,NA,mm,NA,NA,NA,NA,,2.1,2.1,2.8,2.8,mm,NA,NA,NA,NA,,NA,NA,NA,NA,,8(10),2.5,3,4.5,5,mm,pink,absent,present,,,NA,,Mimosa clade
"Barneby, R.C., 1991. Sensitivae Censitae: a description of the genus Mimosa Linnaeus (Mimosaceae) in the New World (Vol. 65).",NA,Mimosa_brevispicata,Mimosa brevispicata,1,,,NA,NA,NA,NA,,,,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,NA,NA,NA,NA,,,absent,,,,,,Mimosa clade
Barneby_1991_Sensitivae_Censitae_treatment_0249.txt,7/9/2025 15:43,Mimosa_caesalpiniifolia,Mimosa caesalpiniifolia,1,trees or potentially sarmentose shrubs,,NA,3,7,NA,m,fl-spikes,Amentiform,NA,NA,NA,NA,mm,NA,4,5,NA,mm,3,3,7,9,cm,3-merous,NA,NA,NA,NA,,NA,NA,NA,NA,,yes,NA,NA,NA,,0.4,0.4,0.7,0.7,mm,0.1,0.1,0.2,0.2,mm,NA,1.7,2.2,NA,mm,1,1.3,NA,NA,mm,NA,0.6,1,NA,mm,6,4,4.5,7,NA,mm,white,absent,NA,,,NA,,Mimosa clade
Barneby_1991_Sensitivae_Censitae_treatment_0029.txt,"2025-07-09T11:18:56,234",Mimosa_colombiana,Mimosa colombiana,1,vines,,NA,NA,NA,NA,,capitula,globose,NA,NA,NA,NA,,NA,4,5,NA,mm,NA,3,11,NA,mm,5- or 6-merous,NA,NA,NA,NA,,NA,NA,NA,NA,,yes,NA,NA,NA,campanulate,0.5,0.5,0.8,0.8,mm,NA,NA,NA,NA,,NA,1.7,2.8,NA,mm,0.6,1,NA,NA,mm,NA,NA,NA,NA,,10(12),NA,2.5,3,NA,mm,white,absent,NA,,,NA,,Mimosa clade
Barneby_1991_Sensitivae_Censitae_treatment_0231.txt,7/9/2025 15:23,Mimosa_cruenta,Mimosa cruenta,1,subshrubs,heavy woody rootstock,NA,5,15,NA,dm,capitula,globose,NA,NA,NA,NA,,NA,6,7,NA,mm,NA,14,38,NA,mm,(3-)4(-5)-merous,NA,NA,NA,NA,,NA,NA,NA,NA,,yes,NA,NA,NA,campanulate,0.7,0.7,1.2,1.2,mm,0.25,0.25,0.4,0.4,mm,NA,2.7,3.3,NA,mm,0.75,1,NA,NA,mm,NA,0.7,1,NA,mm,(6)8(10),NA,4,5.5,NA,mm,bright pink,absent,NA,,,NA,,Mimosa clade
Barneby_1991_Sensitivae_Censitae_treatment_0703.txt,10/7/2025 1:01,Mimosa_cyclophylla,Mimosa cyclophylla,1,subshrubs,xylopodium,NA,1,2.5,3.5,m,capitula,globose,NA,9,11,13,mm,NA,NA,NA,NA,NA,NA,2,10,NA,cm,4-merous,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,Some lower ones staminate,NA,NA,paleaceous,NA,2,3.5,NA,mm,NA,NA,NA,NA,,NA,3,5,NA,mm,1.1,1.8,NA,NA,mm,NA,0.7,1,NA,mm,4,NA,6,7,NA,mm,,NA,NA,,,NA,,Mimosa clade
Barneby_1991_Sensitivae_Censitae_treatment_0453.txt,7/9/2025 19:36,Mimosa_dormiens,Mimosa dormiens,1,herbs,,NA,NA,NA,NA,,capitula,plumply ellipsoid,4,4,7.5,NA,mm,NA,3.5,4.5,NA,mm,NA,8,35,40,mm,4(-5)-merous,NA,NA,NA,NA,,NA,NA,NA,NA,,yes,NA,NA,NA,obsolete,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,1.3,1.7,NA,mm,0.3,0.7,NA,NA,mm,NA,0.3,0.5,NA,mm,8,NA,2,3,NA,mm,pale lilac fading whitish,NA,NA,,,NA,,Mimosa clade
