"genero","taxon","habit","root_system","inflorescence_type","inflorescence_shape","flower_merosity","bisexual_flowers_presence","male_flowers_presence","heteromorphic_flower_presence","sterile_flower_presence","calyx_shape","stamen_count","filament_color","anther_gland_presence","stemonozone_presence","stamen_tube_presence","staminal_tube_presence","intrastaminal_nectary_presence","nectary_presence","height_mean","inflorescence_length_mean","inflorescence_width_mean","inflorescence_peduncle_length_mean","pedicel_length_mean","pedicel_width_mean","calyx_length_mean","calyx_lobe_length_mean","corolla_length_mean","corolla_lobe_length_mean","corolla_lobe_width_mean","filament_length_mean","na_percent","n_target"
"Senegalia","Senegalia_wrightii","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,22
"Senegalia","Senegalia_brevispica","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,22
"Senegalia","Senegalia_velutina","lianes","","spicate","panicles","","","","","","","","","","","","","","",3,NA,NA,NA,0.3,NA,1.85,NA,3.65,NA,NA,NA,27.5862068965517,22
"Senegalia","Senegalia_polyphylla","tree, shrub","","capitate","panicles","","","","","","","","","","","","","","",16.5,NA,NA,NA,NA,NA,1.85,NA,3.5,NA,NA,NA,31.0344827586207,22
"Senegalia","Senegalia_hecatophylla","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,22
"Senegalia","Senegalia_pluricapitata","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,22
"Senegalia","Senegalia_roemeriana","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,22
"Senegalia","Senegalia_kuhlmannii","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,22
"Senegalia","Senegalia_goetzei","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,22
"Senegalia","Senegalia_modesta","trees, treelets","","capitula","","3","","","","","","6","white","","","","","","",5,NA,NA,9,NA,NA,0.75,NA,2.45,1.35,0.95,4.5,17.2413793103448,22
"Senegalia","Senegalia_crassifolia","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,22
"Senegalia","Senegalia_ataxacantha","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,22
"Senegalia","Senegalia_polyacantha","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,22
"Senegalia","Senegalia_mellifera","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,22
"Senegalia","Senegalia_laeta","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,22
"Senegalia","Senegalia_intsia","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,22
"Strombocarpa","Strombocarpa_palmeri","shrub, tree","","spikes, slender","spikes axillary","5","","","","","","","","yes","","","","","",3.6,47.5,NA,15,NA,NA,1.8,NA,5.25,NA,NA,11,20.6896551724138,1
"Stryphnodendron","Stryphnodendron_pulcherrimum","tree","","spikes","simple thyrsi, cymulae of 4-ternate spikes","","","","","","","","","","","","","","",15.5,117.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.4827586206897,3
"Stryphnodendron","Stryphnodendron_guianense","treelets, trees","","spikes","simple thyrsi, cymule of solitary to 4-ternate spikes","","","","","","","","","","","","","","",7,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.4827586206897,3
"Stryphnodendron","Stryphnodendron_adstringens","tree","","spikes","simple thyrsi, cymulae of geminate to ternate spikes","","","","","","","","","","","","","","",4.5,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.4827586206897,3
"Tetrapleura","Tetrapleura_chevalieri","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,2
"Tetrapleura","Tetrapleura_tetraptera","tree","","racemes","","","","","","","","","","","","","","","",6,90,NA,NA,NA,NA,0.75,NA,2.75,NA,NA,3.5,24.1379310344828,2
"Tetrapterocarpon","Tetrapterocarpon_geayi","tree, shrub","","panicles","","4","","","","","","8","","","","","","","",10,100,NA,NA,NA,NA,1,NA,2.5,NA,NA,1.75,24.1379310344828,NA
"Tetrapterocarpon","Tetrapterocarpon_septentrionale","tree","","panicles","","4","","","","","","8","","","","","","","",13.5,150,NA,NA,NA,NA,1,NA,1.75,NA,NA,3,24.1379310344828,NA
"Vachellia","Vachellia_albicorticata","Tree",NA,"globose head","globose","5-lobed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1200,0.95,0.95,1.65,NA,NA,0.12,NA,0.215,NA,NA,4.5,62.0689655172414,17
"Vachellia","Vachellia_cornigera","shrub, tree","","cylindrical spike","solitary or cluster of 2-4 in axil of small spines on short lateral, usually leafless, axillary branches.","","","","","","","","","","","","","","",10,27.5,0.95,10,3,NA,1.2,NA,1.3,NA,NA,NA,17.2413793103448,17
"Vachellia","Vachellia_reficiens","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,17
"Vachellia","Vachellia_leucophloea","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,17
"Vachellia","Vachellia_pseudofistula","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,17
"Vachellia","Vachellia_permixta","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,17
"Vachellia","Vachellia_bilimekii","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,17
"Vachellia","Vachellia_nilotica","Shrub or small tree",NA,"globose head","globose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1400,1,1,2.6,NA,NA,0.14,NA,0.26,NA,NA,0.475,65.5172413793103,17
"Vachellia","Vachellia_drepanolobium","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,17
"Vachellia","Vachellia_pennatula","Tree",NA,"globose head","globose","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1500,1.1,1.1,2.3,2.3,0.065,0.115,NA,0.23,NA,NA,0.375,55.1724137931034,17
"Vachellia","Vachellia_sphaerocephala","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,17
"Vachellia","Vachellia_brandegeeana","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,17
"Vachellia","Vachellia_suberosa","shrub or tree",NA,"heads","globular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1400,NA,NA,0.6,0.6,NA,NA,NA,NA,NA,NA,NA,79.3103448275862,17
"Vachellia","Vachellia_nebrownii","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,17
"Vachellia","Vachellia_etbaica","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,17
"Vachellia","Vachellia_origena","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,17
"Vachellia","Vachellia_haematoxylon","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,17
"Viguieranthus","Viguieranthus_cylindricostachys","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,2
"Viguieranthus","Viguieranthus_ambongensis","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,2
"Wallaceodendron","Wallaceodendron_celebicum","tree","","racemes solitary, racemes paired","","","","","","","","","white","","","","","","",45,165,NA,105,9,NA,4,NA,14.25,4.5,NA,37.5,13.7931034482759,1
"Xerocladia","Xerocladia_viridiramis","shrub","","capitate, pedunculate, heads","","5","","","","","","","","","","","","","",1,7,NA,8,NA,NA,1.5,NA,2.5,NA,NA,NA,24.1379310344828,1
"Xylia","Xylia_hoffmannii","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,1
"Zapoteca","Zapoteca_media","shrubs","","capitula","capitula axillary, rarely in short, terminal pseudopanicles","","","","","","","","white in the basal half, red-purple in the distal half","","","","","","",0.85,NA,NA,43,NA,NA,1.75,NA,3.25,NA,NA,20,24.1379310344828,3
"Zapoteca","Zapoteca_tetragona","shrubs, trees, herbaceous","","capitula","capitula axillary, rarely arrenged in pseudopanicles","","","","","","","","white","","","","","","",8.5,140,NA,85,NA,NA,2.5,NA,6.5,NA,NA,40,20.6896551724138,3
"Zapoteca","Zapoteca_portoricensis","shrubs","","capitula","capitula usually axillary, occasionally arranged in pseudopanicles","(4-) 5","","","","","","","white","","","","","","",5,200,NA,75,NA,NA,2,NA,5.5,NA,NA,25,20.6896551724138,3
"Zygia","Zygia_confusa","trees",NA,"fl-spikes","elongate",NA,NA,NA,NA,NA,"deeply campanulate",NA,"white",NA,NA,NA,NA,"mm","",1200,15.5,NA,NA,NA,NA,0.25,0.02,0.8,0.085,NA,1.85,55.1724137931034,6
"Zygia","Zygia_engelsingii","trees",NA,"capitula or short spikes",NA,"5-merous",NA,NA,NA,NA,"campanulate","50",NA,NA,NA,"present","present","present","",750,NA,NA,0.6,0.6,NA,0.3,0.04,NA,NA,NA,NA,55.1724137931034,6
"Zygia","Zygia_brenesii","Arborescent shrubs",NA,"racemes",NA,"5- merous",NA,NA,NA,NA,"campanulate or deeply campanulate","54",NA,NA,"present",NA,NA,"present","",900,2.05,NA,2.05,0.28,0.05,0.3,0.025,1.95,0.315,NA,NA,44.8275862068966,6
"Zygia","Zygia_longifolia","trees",NA,"spikes",NA,"5(-10)-nerved",NA,NA,NA,NA,"campanulate","30","whitish",NA,NA,"present",NA,NA,"",1300,NA,NA,NA,NA,NA,0.105,0.0325,NA,0.095,NA,1.775,58.6206896551724,6
"Zygia","Zygia_rhytidocarpa","shrub","","capitulum","","","","","","","","24","","","","","","","",9,27.5,NA,3.5,NA,NA,2.65,0.2,6.75,0.7,NA,17.5,13.7931034482759,6
"Zygia","Zygia_peckii","trees",NA,"capitula",NA,"5-merous",NA,NA,NA,NA,"campanulate",NA,NA,NA,"present",NA,NA,"present","",650,NA,NA,0.65,0.65,NA,0.26,0.04,0.725,0.14,NA,NA,55.1724137931034,6
