"species","Priority","Trait.reference","Link.to.reference","Trait.extraction.method","OBS","Habit","Height (m)","Leaf duration (evergreen/deciduous [usually not mentioned in the description])","Brachyblast presence [a proxy for leaf duration; sometimes described as ""short shoot""]","Prickles presence (are corky projections from a plant's skin, or dermal tissue.)","Stipular spines presence","stipule spine length(mm)","stipule spine width (mm)","stipule length (mm)","stipule width (mm)","Leaf length (mm)","Petiole length (mm)","Petiole extra-floral nectary presence","Rachis length (mm)","Rachis extra-floral nectary presence","Number of pinnae pairs (integer)","Pinnae length (mm)","Pinnae rachis length (mm)","Pinna extra-floral nectary presence","Number of leaflet pairs (integer)","Leaflet length (mm)","Leaflet width (mm)","Leaflet shape (text)","Leaflet base shape (text)","Leaflet apex shape (text)","Extrafloral nectary (in general)","Peduncle length (mm)","Pedicel (mm)","Inflorescence length (mm)","Infloresence main rachis length (mm)","Inflorescence width (mm)","Inflorescence shape (text)","Inflorescence arrangement / synflorescence (text)","Calyx merism (integer [sometimes not available when minute and gamosepalous])","Calyx length (mm)","Calyx lobe length (mm)","Calyx lobe width (mm)","Corolla merism (integer)","Corolla length (mm)","Corolla lobe length (mm)","Corolla lobe width (mm)","Flower color","Corolla color (text)","Number of stamens (integer)","Stamen/fillament length (mm)","Stamen color","Anther length (mm)","Anther width (mm)","Anther color","Anther gland presence","Nectary presence","Ovary length (mm)","Ovary width (mm)","Style length (mm)","Stigma shape","Fruit type (text)","Fruit length (mm)","Fruit width (mm)","Fruit thickness (mm)","Fruit shape (text)","Fruit base shape (text)","Fruit apex shape (text)","Fruit color","Number of Seeds","Seed length (mm)","Seed width (mm)","Seed thickness (mm)","Seed shape","Seed color (text)","Source used","traits scored specifically for this species","Varieties present (scored before the use of phylogeny highlighted orange)","refercence notes"
"Leucaena_lanceolata","High","Hughes, C., 1998. Monograph of Leucaena (Leguminosae-Mimosoideae).","https://www.dropbox.com/s/l1qqwpmyhbm5tyu/Hughes-1998-Monograph-of-Leucaena.pdf?dl=4","manual",NA,"tree","5-15 (20)",NA,"no","no","no","4-4.3",NA,"4-4.3",NA,"(100) 150-250 (350)","15-28","yes","50-160",NA,"2-5",NA,NA,"yes","3-6","16-70","8-35","slightly assymetrical, broadly elliptic, broadly elliptic-ovate, abruptly apiculate","obtuse","obtuse, acute, occasionally rounded","yes","8-15",NA,NA,NA,"(15) 20-40","capitula",NA,"5","3.7-4.1",NA,NA,"5","4.8-5.3",NA,NA,NA,"pale whitish green","10","7.1-9.9","white, cream-white",NA,NA,"cream-white",NA,NA,"2.4-2.6",NA,"7-8.4","narrow tubular","pod","100-300 (370)","13-32",NA,"oblong, linear-oblong, acute, sometimes with a short beak, narrowly planocompressed",NA,"obtuse, rounded","pale, dark orange-brown","13-18","6.3-11.1","3.8-8.7",NA,"compressed, circular, ovoid","deep chesnut-brown","same","yes",NA,NA
"Leucaena_x_mixtec","High","Hughes, C., 1998. Monograph of Leucaena (Leguminosae-Mimosoideae).","https://www.dropbox.com/s/l1qqwpmyhbm5tyu/Hughes-1998-Monograph-of-Leucaena.pdf?dl=5","manual",NA,"tree","10-20 (25)",NA,"no","no","no",NA,NA,NA,NA,"(200) 220-280 (300)","22-28","yes","130-200 (220)","yes","9-14",NA,NA,"yes","24-31","9-14","1.9-2.7","slightly assymetric, linear","rounded","acute, acuminate","yes","24-33",NA,NA,NA,"24-26","capitula",NA,"5","2.8-3.3",NA,NA,"5","4.8-5.4",NA,NA,NA,"pale whitish green","10","9-11","white",NA,NA,"white",NA,NA,"3",NA,"10-12","terminal tubular","pod",NA,NA,NA,NA,NA,NA,NA,"this is a hybrid species so for fruit and seeds they have almost always absent or misformed, seeds lacking, this hybrid is highly sterile",NA,NA,NA,NA,NA,"same","yes",NA,NA
"Leucaena_pueblana","High","Hughes, C., 1998. Monograph of Leucaena (Leguminosae-Mimosoideae).","https://www.dropbox.com/s/l1qqwpmyhbm5tyu/Hughes-1998-Monograph-of-Leucaena.pdf?dl=6","manual",NA,"tree","5-10",NA,"no","no","no","5.1-5.4",NA,"5.1-5.4",NA,"(130) 150-170 (190)","12-16","yes","90-150","yes","(10) 16-20 (22)",NA,NA,"yes","(30) 40-55","4.7-5.8","0.9-1.1","slightly assymetric, linear","rounded, truncate","rounded","yes","21-27",NA,NA,NA,"18-25","capitula",NA,"5","3.6-4",NA,NA,"5","4.7-5.2",NA,NA,NA,"pale whitish green","10","11.4-13","white",NA,NA,"pale cream-white",NA,NA,"1.4-1.6",NA,"11.6-12.7","terminal narrow-tubular","pod","(100) 130-150","13-35",NA,"linear, sometimes with a short beak, compressed",NA,"acute","rich orange-brown","12-16","7.5-8","5.8-6.1",NA,"compressed, circular, ovoid, slightly rhomboid","deep chesnut-brown","same","yes",NA,NA
"Leucaena_pulverulenta","High","Hughes, C., 1998. Monograph of Leucaena (Leguminosae-Mimosoideae).","https://www.dropbox.com/s/l1qqwpmyhbm5tyu/Hughes-1998-Monograph-of-Leucaena.pdf?dl=7","manual",NA,"tree","5-18 (20)",NA,"no","no","no","2.3-2.5",NA,"2.3-2.5",NA,"180-220","27-35",NA,"110-170","yes","(12) 14-16 (18)",NA,NA,"yes","(55) 61-69 (75)","(4) 4.4-4.9 (5.2)","0.8-1","oblong, entire","slightly acute",NA,"yes","25-35",NA,NA,NA,"15-20","capitula",NA,"5","1.3-1.6",NA,NA,"5","3.8-4.1",NA,NA,NA,"pale green","10","5.5-6.3","pale cream-white",NA,NA,"pale cream-white",NA,NA,"1.7-1.8",NA,"6.2-6.8","narrow-funnelform","pod","(120) 140-180 (210)","(14) 16-23 (24)",NA,"narrowly linear-oblong, usually with a short straight or recurved point, narrowly planocompressed","acute","rounded","dark brown","16-24 (26)","6.5-7.9","3.2-4.2",NA,"narrowly oblong, slightly compressed","dark glossy chesnut-brown","same","yes",NA,NA
"Leucaena_retusa","High","Hughes, C., 1998. Monograph of Leucaena (Leguminosae-Mimosoideae).","https://www.dropbox.com/s/l1qqwpmyhbm5tyu/Hughes-1998-Monograph-of-Leucaena.pdf?dl=8","manual",NA,"tree","2-5 (8)",NA,"no","no","no","7.3-7.5",NA,"7.3-7.5",NA,"(150) 180-250","40-50",NA,"70-90","yes","(2) 3-4 (5)",NA,NA,"yes","(4) 5-6 (8)","(15) 20-26 (30)","(8) 10-12 (15)","weakly asymmetric, obliquely obovate, elliptic-lanceloate, rounded, apiculate, rarely slightly retuse-apiculate, entire","obliquely rounded, cuneate, asymmetric",NA,"yes","25-90",NA,NA,NA,"20-25","capitula",NA,"5","4.2-4.5",NA,NA,"5","5.4-6.6",NA,NA,NA,"pale yellow-green","10","12-13.5","bright yellow",NA,NA,"yellow",NA,NA,"2",NA,"12.5-14","tubular","pod","(120) 160-200 (250)","11-13",NA,"linear, sometimes slightly falcate, straight, acuminate, compressed","cuneate",NA,"mid- to reddish brown","13-15","7.3-8.5","4.8-6.5",NA,"rhoboidal","deep chesnut-brown","same","yes",NA,NA
"Leucaena_trichodes","High","Hughes, C., 1998. Monograph of Leucaena (Leguminosae-Mimosoideae).","https://www.dropbox.com/s/l1qqwpmyhbm5tyu/Hughes-1998-Monograph-of-Leucaena.pdf?dl=9","manual",NA,"tree, shrub","(1) 3-10 (15)",NA,"no","no","no","2.8-3.1",NA,"2.8-3.1",NA,"130-220 (290)","(16) 20-40 (50)",NA,"65-13","yes","2-3 (4)",NA,NA,"yes","(1) 2-4 (6)","(22) 28-60 (118)","(10) 15-50 (71)","very slightly asymmetric, ovate-elliptic, sometimes rounded, entire","acute, cuneate","variably acute, varily obtuse","yes","(6) 10-18",NA,NA,NA,"8-12","capitula",NA,"5","1.3-2.6",NA,NA,"5","2.3-3.3",NA,NA,NA,"pale green","10","4-6.3","creamy white",NA,NA,"cream-white",NA,NA,"1.1-1.8",NA,"4.5-6 (7.4)","narrow-funnelform","pod","(70) 110-180","18-24",NA,"linear-oblong, flattened","cuneate","often with a short beak, cuneate","mid- reddish-orange-brown","10-14","6.1-8.2","4-5.8",NA,"compressed, elliptic, circular","deep chesnut-brown","same","yes",NA,NA
"Lysiloma_acapulcense","High","Barneby, R.C. and Grimes, J., 1996. Silk tree, guanacaste, monkey's earring: a generic system of the synandrous Mimosaceae of the Americas. Part I. Abarema, Albizia, and allies. Memoirs of the New York Botanical Garden, 74(1).","https://www.dropbox.com/s/omtdhf8ghyz5gpq/Barneby_and_Grimes-1996-Silk%20Tree%2C%20Guanacaste%2C%20Monkey%27s%20Earring%20-%20Part%20I.pdf?dl=6","automatic",NA,"tree","4-12 (20)",NA,NA,"no","no","5-13",NA,"5-13",NA,"(72) 94-170 (190)","11-20 (25)","yes","(59) 85-135 (156)","yes","(9) 11-17 (20)",NA,NA,"yes","(28) 39-55 (65)","(2.5) 3.8-5.8 (8)","0.5-1 (1.2)","narrowly linear, sometimes falcate towards the apex","base strongly asymmetric with the midrib frequently at the anterior margin","obtuse, occasionally acute","yes","42-62","0.2-0.5","(18) 39-56 (75)",NA,NA,NA,NA,NA,"1.5-2",NA,NA,NA,"±3-4",NA,NA,NA,"pale green, yellow",NA,NA,"cream white",NA,NA,"yellow",NA,NA,NA,NA,NA,NA,"pod","80-155 (230)","22-35 (54)",NA,"often twisted, the margins sinuate","base obtuse, base acute","acute, rostrate, rarely obtuse.","shiny brown",NA,NA,NA,NA,NA,NA,"Lysiloma (Leguminosae: Mimosoideae) in Mesoamerica
Author(s): S. W. Gale and T. D. Pennington
Source: Kew Bulletin , 2004, Vol. 59, No. 3 (2004), pp. 453-467 Published by: Springer on behalf of Royal Botanic Gardens, Kew
Stable URL: https://www.jstor.org/stable/4110952","yes","—","found"
"Lysiloma_candidum","High","Barneby, R.C. and Grimes, J., 1996. Silk tree, guanacaste, monkey's earring: a generic system of the synandrous Mimosaceae of the Americas. Part I. Abarema, Albizia, and allies. Memoirs of the New York Botanical Garden, 74(1).","https://www.dropbox.com/s/omtdhf8ghyz5gpq/Barneby_and_Grimes-1996-Silk%20Tree%2C%20Guanacaste%2C%20Monkey%27s%20Earring%20-%20Part%20I.pdf?dl=7","automatic",NA,"tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1-2",NA,NA,NA,"4-7 (9)",NA,"6-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,"short bracteate pseudoracemes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"craspedium",NA,NA,NA,NA,NA,NA,"livid, purplish-brown, purplish-green",NA,NA,NA,NA,NA,NA,"same","yes","—","found"
"Lysiloma_divaricatum","High","Barneby, R.C. and Grimes, J., 1996. Silk tree, guanacaste, monkey's earring: a generic system of the synandrous Mimosaceae of the Americas. Part I. Abarema, Albizia, and allies. Memoirs of the New York Botanical Garden, 74(1).","https://www.dropbox.com/s/omtdhf8ghyz5gpq/Barneby_and_Grimes-1996-Silk%20Tree%2C%20Guanacaste%2C%20Monkey%27s%20Earring%20-%20Part%20I.pdf?dl=8","automatic",NA,"tree","15","deciduous, semi-deciduous",NA,"no","no","3-7",NA,"3-7",NA,"(40) 50-90 (123)","9-18(23)","yes","34-75 (103)","yes","5-11",NA,NA,"yes","(17) 23-36 (47)","(2) 3-7 (11)","0.5-1.8 (2.2)","linear-oblong","weakly asymmetric","slightly falcate, acute, occasionally obtuse","yes","17-33",NA,"1-2",NA,NA,"spicate-racemose (amentiform), spherical capitate, hemispherical-umbellulate",NA,NA,"1.5-2",NA,NA,NA,"±0.75-4",NA,NA,NA,NA,"12-32","7-16 (20)","whitish","0.15-0.25",NA,NA,NA,NA,NA,NA,NA,NA,"pod","(70) 95-150","10-22 (32)",NA,"often twisted, margins usually parallel, rarely sinuate","acute","acute, rostrate","brown, dark purplish black",NA,NA,NA,NA,NA,NA,"Same and Lysiloma (Leguminosae: Mimosoideae) in Mesoamerica
","yes","—","found"
"Lysiloma_divaricatum","High","Barneby, R.C. and Grimes, J., 1996. Silk tree, guanacaste, monkey's earring: a generic system of the synandrous Mimosaceae of the Americas. Part I. Abarema, Albizia, and allies. Memoirs of the New York Botanical Garden, 74(1).","https://www.dropbox.com/s/omtdhf8ghyz5gpq/Barneby_and_Grimes-1996-Silk%20Tree%2C%20Guanacaste%2C%20Monkey%27s%20Earring%20-%20Part%20I.pdf?dl=9","automatic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"see note","—","found"
"Lysiloma_tergeminum","High","Barneby, R.C. and Grimes, J., 1996. Silk tree, guanacaste, monkey's earring: a generic system of the synandrous Mimosaceae of the Americas. Part I. Abarema, Albizia, and allies. Memoirs of the New York Botanical Garden, 74(1).","https://www.dropbox.com/s/omtdhf8ghyz5gpq/Barneby_and_Grimes-1996-Silk%20Tree%2C%20Guanacaste%2C%20Monkey%27s%20Earring%20-%20Part%20I.pdf?dl=10","automatic",NA,"tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1-2","±35-70",NA,NA,"1.5",NA,NA,"ovate, rotund",NA,NA,NA,NA,NA,"35-65",NA,NA,"densely capitulate, amentiform, narrowly cylindric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"craspedium",NA,NA,NA,NA,NA,NA,"pale green, light tan",NA,NA,NA,NA,NA,NA,"same and Lysiloma (Leguminosae: Mimosoideae) in Mesoamerica
Author(s): S. W. Gale and T. D. Pennington
Source: Kew Bulletin , 2004, Vol. 59, No. 3 (2004), pp. 453-467 Published by: Springer on behalf of Royal Botanic Gardens, Kew
Stable URL: https://www.jstor.org/stable/4110952","yes","—","found"
"Lysiloma_watsonii","High","Barneby, R.C. and Grimes, J., 1996. Silk tree, guanacaste, monkey's earring: a generic system of the synandrous Mimosaceae of the Americas. Part I. Abarema, Albizia, and allies. Memoirs of the New York Botanical Garden, 74(1).","https://www.dropbox.com/s/omtdhf8ghyz5gpq/Barneby_and_Grimes-1996-Silk%20Tree%2C%20Guanacaste%2C%20Monkey%27s%20Earring%20-%20Part%20I.pdf?dl=11","automatic",NA,"tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5-9",NA,NA,NA,"30-50","5-7.5 (9)","1.7-3",NA,NA,NA,NA,NA,NA,"3-8",NA,NA,"capituliform, suborbicular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"craspedium",NA,NA,NA,NA,NA,NA,"livid, purplish-brown, purplish-green",NA,NA,NA,NA,NA,NA,"same","yes",NA,"found"
"Mimosa_dolens_acerba","Low","Barneby, R.C., 1991. Sensitivae Censitae: a description of the genus Mimosa Linnaeus (Mimosaceae) in the New World (Vol. 65).",NA,"automatic",NA,NA,NA,NA,NA,"no",NA,NA,NA,"4-11(-13)","0.4-1.5",NA,"(3-)5-30(-35)",NA,NA,NA,NA,NA,"35-105(-120)",NA,"(11-)16-25","5-20","(1.6-)2-6.5",NA,NA,NA,NA,"5-35(-40)",NA,NA,NA,NA,"capitula",NA,NA,"0-0.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"same",NA,"yes",NA
"Mimosa_antioquensis","Low","Barneby, R.C., 1991. Sensitivae Censitae: a description of the genus Mimosa Linnaeus (Mimosaceae) in the New World (Vol. 65).",NA,"automatic",NA,"shrubs","2-8",NA,NA,"yes",NA,NA,NA,"1-6","0.2-0.4",NA,"70-200",NA,NA,NA,"(7-)8-16",NA,NA,NA,"24-44","3-6(-7)","0.5-1.3","linear, narrowly oblong","obtuseangulate","obtuse, deltately subacute, straight, subfalcate",NA,"10-14",NA,NA,NA,NA,"capitula",NA,"5","±0.4-1",NA,NA,"5","1.9-2.7","0.6-0.9","0.2-0.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pod","(40-)45-130","(6-)7-13",NA,"broad-linear, almost linear, plano-compressed body",NA,NA,NA,"(6-)8-20","±6","±3.6",NA,"oblong-obovate","brown","same","yes",NA,NA
"Mimosa_benthamii","Low","Barneby, R.C., 1991. Sensitivae Censitae: a description of the genus Mimosa Linnaeus (Mimosaceae) in the New World (Vol. 65).",NA,"automatic",NA,"shrubs","2-7",NA,NA,"yes",NA,NA,NA,"3-10",NA,NA,"(50-)60-160",NA,NA,NA,"8-30",NA,"40-60",NA,"12-25","2.5-7","1.2-3.5","obliquely ovate, oblong-elliptic, lanceolate, abruptly apiculate",NA,NA,NA,NA,NA,NA,NA,NA,"spikes",NA,"(4-)5(-6)","1.1-1.7","0.1-0.25",NA,"(4-)5(-6)","1.7-3.3","0.8-1.1",NA,NA,NA,NA,"3-6","pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pod","40-70","5-7",NA,"linear, gently curved, strongly curved",NA,NA,NA,"6-11",NA,NA,NA,NA,NA,"same","yes",NA,NA
"Mimosa_distachya_distachya","Low","Barneby, R.C., 1991. Sensitivae Censitae: a description of the genus Mimosa Linnaeus (Mimosaceae) in the New World (Vol. 65).",NA,"automatic",NA,"shrubs","4","drought-deciduous",NA,"yes",NA,NA,NA,"(1-)1.5-3.5","0.2-0.7",NA,"(7-)10-35",NA,NA,NA,"2-4(-5)",NA,"6-24",NA,"3-6(-7)","3.5-12","2-6(-7)","plane",NA,NA,NA,"(15-)20-90",NA,NA,NA,NA,"spikes, racemes",NA,"5","0.4-1.2","0.1-0.3",NA,"5","2.1-3","0.9-1.5",NA,NA,NA,"10","3-6","white, pale pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pod","(13-)17-60","5-8.5",NA,"broad-linear, gently recurved body",NA,NA,NA,"(4-)5-9(-11)",NA,NA,NA,NA,NA,"same","yes",NA,NA
"Mimosa_brevispicata","Low","Barneby, R.C., 1991. Sensitivae Censitae: a description of the genus Mimosa Linnaeus (Mimosaceae) in the New World (Vol. 65).",NA,"automatic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_tricephala_tricephala","Low","Barneby, R.C., 1991. Sensitivae Censitae: a description of the genus Mimosa Linnaeus (Mimosaceae) in the New World (Vol. 65).",NA,"automatic",NA,"shrubs, treelets",NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"3-32",NA,NA,NA,"1",NA,"10-90(-100)",NA,"7-14","7-14","(2-)3-6","obliquely ovate, oblong-elliptic, linear-oblong, obtuse-mucronulate, acute",NA,NA,NA,NA,NA,NA,NA,NA,"pseudoraceme",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"same","yes",NA,NA
"Mimosa_acantholoba_eurycarpa","Low","Barneby, R.C., 1991. Sensitivae Censitae: a description of the genus Mimosa Linnaeus (Mimosaceae) in the New World (Vol. 65).",NA,"automatic",NA,"shrubs","(1-)2-7",NA,NA,"yes",NA,NA,NA,"1-4","0.25-0.5",NA,"6-25(-35)",NA,NA,NA,"7-15(-26)",NA,"(12-)15-42(-55)",NA,"(15-)18-40","±2.5-8","(0.6-)0.7-1.8(-2)","linear, linear-elliptic","obtusangulate","obtuse, deltately apiculate",NA,"5-24",NA,NA,NA,NA,"capitula",NA,"5","0.45-1.4",NA,NA,"5","2.2-3.2","0.7-1.3","0.6-0.8",NA,NA,NA,"(3.5-)4-5.5(-6)","white, pinkish",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pod","35-80","10-23",NA,"elliptic, oblong-elliptic",NA,NA,NA,"4-8","4.6-5.2","3-3.7",NA,NA,NA,"same","yes",NA,NA
"Mimosa_debilis_debilis","Low","Barneby, R.C., 1991. Sensitivae Censitae: a description of the genus Mimosa Linnaeus (Mimosaceae) in the New World (Vol. 65).",NA,"automatic",NA,"herbs, subshrubs",NA,NA,NA,"yes",NA,NA,NA,"(2.5-)3.5-8","0.7-2",NA,"(6-)10-65(-70)",NA,NA,NA,"1",NA,"4-20",NA,NA,"20-65","(6-)7-23(-30)","broadly obovate, oblanceolate","semicordate","obtuse mucronulate, deltate-apiculate",NA,"5-20(-22)",NA,NA,NA,NA,"capitula","conelike capitula or moriform in praefloration","4","0.15-0.4",NA,NA,"4","2-2.6","0.5-0.7","0.4-0.6",NA,NA,"4","4-7.5","lilac-pink, rose-pink, magenta-pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pod","10-18(-20)","3-4.7(-5)",NA,"oblong-elliptic, broadly linear",NA,NA,NA,"2-4","2.3-3.5","1.8-3",NA,NA,"fawn-brown","same","yes",NA,NA
"Mimosa_hystricina","Low","Barneby, R.C., 1991. Sensitivae Censitae: a description of the genus Mimosa Linnaeus (Mimosaceae) in the New World (Vol. 65).",NA,"automatic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(15-)20-40",NA,NA,NA,"4-7(-8)",NA,"15-35(-45)",NA,"(10-)11-16(-18)","(3-)3.5-8","1-2.2(-2.4)","sharply apiculate",NA,NA,NA,"50-120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pod","20-45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"same","yes",NA,NA
"Mimosa_polyantha","Low","Barneby, R.C., 1991. Sensitivae Censitae: a description of the genus Mimosa Linnaeus (Mimosaceae) in the New World (Vol. 65).",NA,"automatic",NA,"shrubs","1-3.5","xeromorphic, drought-deciduous","yes","yes",NA,NA,NA,"2-5",NA,NA,"30-150",NA,NA,NA,"(1-)2-7(-8)",NA,"10-35(-50)",NA,"7-18(-24)","(2.2-)3-7(-9)",NA,"narrowly oblong, oblong-elliptic, obutse, commonly apiculate",NA,NA,NA,NA,"0-0.3",NA,NA,NA,"spike",NA,"4-5","0.4-0.7(-0.9)",NA,NA,"4-5","2.6-3.1",NA,NA,NA,NA,NA,"3.5-7.5","white, liliac",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pod","(25-)30-55(-60)","(7-)8-12",NA,"oblong, broad-linear","cuneate","abruptly cuspidate",NA,"(4-)5-8",NA,NA,NA,NA,NA,"same","yes",NA,NA
"Mimosa_somnians_lasiocarpa","Low","Barneby, R.C., 1991. Sensitivae Censitae: a description of the genus Mimosa Linnaeus (Mimosaceae) in the New World (Vol. 65).",NA,"automatic",NA,"subshrubs, shrubs, treelets",NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,"2-12(-20)",NA,NA,NA,"(4-)5-11(-12)",NA,"(15-)20-45(-55)",NA,"(18-)20-40","(2.5-)3-7(-7.5)","0.45-1.3(-1.6)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"capitula","conelike or moriform",NA,"0.25-0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pod","25-50","3-4.5(-5)",NA,NA,NA,NA,NA,"(6-)7-12(-14)",NA,NA,NA,NA,NA,"same","yes",NA,NA
"Mimosa_latidens","Low","Barneby, R.C., 1991. Sensitivae Censitae: a description of the genus Mimosa Linnaeus (Mimosaceae) in the New World (Vol. 65).",NA,"automatic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20-45",NA,NA,NA,"1-3",NA,"5-13",NA,"5-9(-10)","2.5-6.5","0.6-1.7",NA,NA,NA,NA,"20-45(-75)",NA,NA,NA,NA,"capitula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pod","(30-)35-65","±3.5",NA,NA,NA,NA,NA,"8-12",NA,NA,NA,NA,NA,"same","yes",NA,NA
"Mimosa_distachya_laxiflora","Low","Barneby, R.C., 1991. Sensitivae Censitae: a description of the genus Mimosa Linnaeus (Mimosaceae) in the New World (Vol. 65).",NA,"automatic",NA,"shrubs","4","drought-deciduous",NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6-24",NA,NA,"3.5-12","2-6(-7)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.4-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pod",NA,NA,NA,NA,NA,NA,NA,"(4-)5-9(-11)",NA,NA,NA,NA,NA,"same","yes",NA,NA
"Mimosa_rhododactyla_malacocarpa","Low","Barneby, R.C., 1991. Sensitivae Censitae: a description of the genus Mimosa Linnaeus (Mimosaceae) in the New World (Vol. 65).",NA,"automatic",NA,"shrubs","2-7",NA,NA,"yes",NA,NA,NA,"3-10",NA,NA,"(50-)60-160",NA,NA,NA,"8-30",NA,"20-45",NA,"12-25","2.5-7","1.2-3.5","lanceolate",NA,NA,NA,NA,NA,NA,NA,NA,"spikes",NA,"(4-)5(-6)","0.4-1","0.1-0.25",NA,"(4-)5(-6)","1.7-3.3","0.8-1.1",NA,NA,NA,NA,"3-6","pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pod","40-70","5-7",NA,"linear, gently curved, strongly curved",NA,NA,NA,"6-11",NA,NA,NA,NA,NA,"same","yes",NA,NA
"Mimosa_martindelcampoi","Low","Barneby, R.C., 1991. Sensitivae Censitae: a description of the genus Mimosa Linnaeus (Mimosaceae) in the New World (Vol. 65).",NA,"automatic",NA,"shrubs",NA,NA,NA,NA,NA,NA,NA,"1-2.5",NA,NA,"(3-)4-18",NA,NA,NA,"1",NA,"20-60",NA,"2","±20-40","15-28","obliquely obovate, reniform, broadly obtuse","often cuneately contracted, wrinkled",NA,NA,"13-25",NA,NA,NA,NA,"capitula","moriform, pyriform","4-5","0.8-1","±0.1",NA,"4-5","2.6-3.6",NA,NA,"pink",NA,NA,"3-4.5","pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pod","(20-)35-50","9-12",NA,"broad-linear, gently decurved","contractedinto a stipe","cuspidate",NA,"(3-)4-8",NA,NA,NA,NA,NA,"same","yes",NA,NA
