taxon,taxon_coded,filename,created_at,phylogeny,habit,root_system,height_min,height_low,height_high,height_max,height_unit,extrafloral_nectaries_presence,extrafloral_nectaries_location,extrafloral_nectary_length_min,extrafloral_nectary_length_low,extrafloral_nectary_length_high,extrafloral_nectary_length_max,extrafloral_nectary_length_unit,extrafloral_nectary_width_min,extrafloral_nectary_width_low,extrafloral_nectary_width_high,extrafloral_nectary_width_max,extrafloral_nectary_width_unit,extrafloral_nectary_shape,inflorescence_type,inflorescence_shape,inflorescence_length_min,inflorescence_length_low,inflorescence_length_high,inflorescence_length_max,inflorescence_length_unit,inflorescence_width_min,inflorescence_width_low,inflorescence_width_high,inflorescence_width_max,inflorescence_width_unit,inflorescence_organization,inflorescence_peduncle_length_min,inflorescence_peduncle_length_low,inflorescence_peduncle_length_high,inflorescence_peduncle_length_max,inflorescence_peduncle_length_unit,inflorescence_peduncle_width_min,inflorescence_peduncle_width_low,inflorescence_peduncle_width_high,inflorescence_peduncle_width_max,inflorescence_peduncle_width_unit,flower_merosity,pedicel_length_min,pedicel_length_low,pedicel_length_high,pedicel_length_max,pedicel_length_unit,pedicel_width_min,pedicel_width_low,pedicel_width_high,pedicel_width_max,pedicel_width_unit,calyx_shape,calyx_length_min,calyx_length_low,calyx_length_high,calyx_length_max,calyx_length_unit,calyx_lobe_length_min,calyx_lobe_length_low,calyx_lobe_length_high,calyx_lobe_length_max,calyx_lobe_length_unit,corolla_shape,corolla_length_min,corolla_length_low,corolla_length_high,corolla_length_max,corolla_length_unit,corolla_lobe_length_low,corolla_lobe_length_high,corolla_lobe_length_max,corolla_lobe_length_unit,corolla_lobe_width_min,corolla_lobe_width_low,corolla_lobe_width_high,corolla_lobe_width_max,corolla_lobe_width_unit,stamen_count,filament_length_min,filament_length_low,filament_length_high,filament_length_max,filament_length_unit,filament_color,style_length_min,style_length_low,style_length_high,style_length_max,style_length_unit
Mimosa foliolosa subsp. foliolosa var. pubescens,Mimosa_foliolosa_foliolosa_pubescens,Barneby_1991_Sensitivae_Censitae_treatment_0367.txt,7/9/2025 17:58,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,3.7,,mm,,,,,,,,,,,,,,,,,,,,,
Mimosa foliolosa subsp. foliolosa var. franciscana,Mimosa_foliolosa_foliolosa_franciscana,Barneby_1991_Sensitivae_Censitae_treatment_0368.txt,7/9/2025 17:59,2,,,,,,,,,,,,,,,,,,,,,capitula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,5,,mm,,,,,,,,,,,,,,,,,,,,,
Mimosa foliolosa subsp. foliolosa var. foliolosa,Mimosa_foliolosa_foliolosa_foliolosa,Barneby_1991_Sensitivae_Censitae_treatment_0369.txt,7/9/2025 18:00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.5,3.5,3.7,mm,,,,,,,,,,,,,,,,,,,,,
Mimosa foliolosa subsp. foliolosa var. brevipinna,Mimosa_foliolosa_foliolosa_brevipinna,Barneby_1991_Sensitivae_Censitae_treatment_0370.txt,7/9/2025 18:02,0,,,,,,,,,,,,,,,,,,,,,capitula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.5,3.3,,mm,,,,,,,,,,,,,,,,,,,,,
Mimosa foliolosa subsp. foliolosa var. corpulenta,Mimosa_foliolosa_foliolosa_corpulenta,Barneby_1991_Sensitivae_Censitae_treatment_0371.txt,7/9/2025 18:03,0,suffrutex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa foliolosa subsp. pachycarpa,Mimosa_foliolosa_pachycarpa,Barneby_1991_Sensitivae_Censitae_treatment_0372.txt,7/9/2025 18:04,2,,,,,,,,,,,,,,,,,,,,,capitula,conelike,,7,14,,mm,,,,,,,1,1.5,3.5,4.5,cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.5,5,6,mm,,,,,,,,,,,,,,,,,,,,,
Mimosa foliolosa subsp. pachycarpa var. multipinaa,Mimosa_foliolosa_pachycarpa_multipinaa,Barneby_1991_Sensitivae_Censitae_treatment_0373.txt,7/9/2025 18:05,2,,,6,6,15,,dm,,,,,,,,,,,,,,capitula,,,10,14,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5.2,,mm,,,,,,,,,,,,,,,,,,,,,
Mimosa foliolosa subsp. pachycarpa var. cercadoensis,Mimosa_foliolosa_pachycarpa_cercadoensis,Barneby_1991_Sensitivae_Censitae_treatment_0374.txt,7/9/2025 18:06,0,,,,,1,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa foliolosa subsp. pachycarpa var. foederalis,Mimosa_foliolosa_pachycarpa_foederalis,Barneby_1991_Sensitivae_Censitae_treatment_0375.txt,7/9/2025 18:07,2,frutescent,xylopodium,,7,20,30,dm,,,,,,,,,,,,,,capitula,,7,8,10,,mm,7,8,10,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4.2,,mm,,,,,,,,,,,,,,,,,,,,,
Mimosa foliolosa subsp. pachycarpa var. gravida,Mimosa_foliolosa_pachycarpa_gravida,Barneby_1991_Sensitivae_Censitae_treatment_0376.txt,7/9/2025 18:08,2,Shrubs,,,12,20,,dm,,,,,,,,,,,,,,capitula,,,11,12,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,,mm,,,,,,,,,,,,,,,,,,,,,
Mimosa foliolosa subsp. pachycarpa var. pachycarpa,Mimosa_foliolosa_pachycarpa_pachycarpa,Barneby_1991_Sensitivae_Censitae_treatment_0377.txt,7/9/2025 18:09,2,,,,4,7,,dm,,,,,,,,,,,,,,capitula,,,7,8,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,,mm,,,,,,,,,,,,,,,,,,,,,
Mimosa foliolosa subsp. pachycarpa var. viscidula,Mimosa_foliolosa_pachycarpa_viscidula,Barneby_1991_Sensitivae_Censitae_treatment_0378.txt,7/9/2025 18:11,0,,,,5,15,,dm,,,,,,,,,,,,,,capitula,,,10,14,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,4.8,6,,mm,,,,,,,,,,,,,,,,,,,,,
Mimosa foliolosa subsp. pachycarpa var. vernicosa,Mimosa_foliolosa_pachycarpa_vernicosa,Barneby_1991_Sensitivae_Censitae_treatment_0379.txt,7/9/2025 18:12,2,Shrubs,,,3,5,,dm,,,,,,,,,,,,,,capitula,,,10,12,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7.5,,mm,,,,,,,,,,,,,,,,,,,,,
Mimosa foliolosa subsp. pachycarpa var. peregrina,Mimosa_foliolosa_pachycarpa_peregrina,Barneby_1991_Sensitivae_Censitae_treatment_0380.txt,7/9/2025 18:13,2,,,,1,1.5,,m,,,,,,,,,,,,,,capitula,,,10,13,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,mm,,,,,,,,,,,,,,,,,,,,,
Mimosa foliolosa subsp. brevibractea,Mimosa_foliolosa_brevibractea,Barneby_1991_Sensitivae_Censitae_treatment_0381.txt,7/9/2025 18:14,2,Shrubs,,,,,,,,,,,,,,,,,,,,capitula,moriform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa foliolosa subsp. brevibractea var. brevibractea,Mimosa_foliolosa_brevibractea_brevibractea,Barneby_1991_Sensitivae_Censitae_treatment_0382.txt,7/9/2025 18:15,2,,,1,1.5,3,,m,,,,,,,,,,,,,,capitula,globose or plumply ellipsoid,,10,13,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5.1,,mm,,,,,,,,,,,,,,,,,,,,,
Mimosa foliolosa subsp. brevibractea var. paranani,Mimosa_foliolosa_brevibractea_paranani,Barneby_1991_Sensitivae_Censitae_treatment_0383.txt,7/9/2025 18:16,2,,,,,,,,,,,,,,,,,,,,,capitula,,,9,11,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,6.5,,mm,,,,,,,,,,,,,,,,,,,,,
Mimosa foliolosa subsp. brevibractea var. antana,Mimosa_foliolosa_brevibractea_antana,Barneby_1991_Sensitivae_Censitae_treatment_0384.txt,7/9/2025 18:17,0,shrubs and low trees,,,,,,,,,,,,,,,,,,,,capitula,ellipsoid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa foliolosa subsp. brevibractea var. rigens,Mimosa_foliolosa_brevibractea_rigens,Barneby_1991_Sensitivae_Censitae_treatment_0385.txt,7/9/2025 18:19,0,Shrubs,,,1,,,m,,,,,,,,,,,,,,capitula,moriform,,15,20,,mm,,11,13,,mm,,4,5,7,,cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,5.3,,mm,,,,,,,,,,,,,,,,,,,,,
Mimosa pachycarpoides,Mimosa_pachycarpoides,Barneby_1991_Sensitivae_Censitae_treatment_0386.txt,7/9/2025 18:20,1,shrubs,,,,1,,m,,,,,,,,,,,,,,capitula,,,,,,,,,,,,,,12,26,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa auriberbis,Mimosa_auriberbis,Barneby_1991_Sensitivae_Censitae_treatment_0387.txt,7/9/2025 18:21,0,shrub,,,,1,,m,absent,,,,,,,,,,,,,capitula,globose,,13,13,,mm,,13,13,,mm,,,,,,,,,,,,4-merous,,,,,,,,,,,,,0.7,0.7,,mm,,,,,,narrowly funnelform,,6,6,,mm,1.5,1.5,,mm,,,,,,8,,9,,,mm,pink,,,,,
Mimosa rava,Mimosa_rava,Barneby_1991_Sensitivae_Censitae_treatment_0388.txt,7/9/2025 18:22,1,shrublets,,,3,5,,dm,,,,,,,,,,,,,,capitula,subglobose,,9,11,,mm,,9,11,,mm,pseudoraceme,2,2,4,,cm,,,,,,4-5-merous,,,,,,,,,,,,,,,,,,,,,,funnelform,,3.8,5.2,,mm,1.3,1.5,,mm,,,,,,,,7,9,,mm,pale pink,,,,,
Mimosa leiocephala,Mimosa_leiocephala,Barneby_1991_Sensitivae_Censitae_treatment_0389.txt,7/9/2025 18:23,1,shrubs,,,,2,,m,,,,,,,,,,,,,,capitula,globose,,6,8,,mm,6,6,8,8,mm,pseudoraceme,,1.5,2.5,,cm,,,,,,4-merous,,,,,,,,,,,turbinate-campanulate,,0.6,0.7,,mm,,0.1,,,mm,narrowly funnelform,,3,,,mm,1.4,,,mm,,0.8,,,mm,8,,4,10,,mm,pink,,,,,
Mimosa nitens,Mimosa_nitens,Barneby_1991_Sensitivae_Censitae_treatment_0390.txt,7/9/2025 18:24,1,shrubs or subshrubs,,,1.5,2,,m,,,,,,,,,,,,,,capitula,conelike,,9,10,,mm,,9,10,,mm,panicle of pseudoracem,1.5,,3,4.5,cm,,,,,,4-merous,,,,,,,,,,,,,0.5,0.85,,mm,,,,,,narrowly funnelform,,4,5,5,mm,1.1,1.5,,mm,,,,,,8,,7,13,,mm,pink,,,,,
Mimosa lithoreas,Mimosa_lithoreas,Barneby_1991_Sensitivae_Censitae_treatment_0391.txt,7/9/2025 18:25,1,subshrubs,,,,,,,,,,,,,,,,,,,,capitula,globose,,11,12,,mm,,11,12,,mm,,,4.5,7.5,,cm,,,,,,4-merous,,,,,,,,,,,campanulate,,0.7,0.8,,mm,,,,,,funnelform,,4,4.7,,mm,1,1.2,,mm,,,,,,8,,9,10,,mm,magenta-lavender fading pale lilac,,,,,
Mimosa humivagans,Mimosa_humivagans,Barneby_1991_Sensitivae_Censitae_treatment_0392.txt,7/9/2025 18:27,1,subshrubs,xylopodium,,,,,,,,,,,,,,,,,,,capitula,globose,,6,7,,mm,6,6,7,7,mm,pseudoracemes,,20,27,,mm,,,,,,4-merous,,,,,,,,,,,campanulate or bowl-shaped,,0.3,,,mm,,,,,,subcylindric,,4,,,mm,0.9,,,mm,,0.6,,,mm,8,,,7.5,,mm,lavender-pink,,,,,
Mimosa prorepens,Mimosa_prorepens,Barneby_1991_Sensitivae_Censitae_treatment_0393.txt,7/9/2025 18:28,1,subshrubs,xylopodium,,,,,,,,,,,,,,,,,,,capitula,plumply ellipsoid,,10,15,,mm,,8,10,,mm,pseudoracemes,1.5,2,5.5,,cm,,,,,,4-merous,,,,,,,,,,,,,0.4,0.5,,mm,,,,,,narrowly funnelform,,3.1,3.6,,mm,0.8,,,mm,,,,,,8,,,,,,,,,,,
Mimosa pseudofoliolosa,Mimosa_pseudofoliolosa,Barneby_1991_Sensitivae_Censitae_treatment_0394.txt,7/9/2025 18:29,1,subshrub,xylopodium,,,,,,,,,,,,,,,,,,,capitula,subglobose,,4,5,,mm,,4,5,,mm,panicle,1.7,1.7,2.3,2.3,cm,,,,,,4-merous,,,,,,,,,,,,,0.5,0.8,,mm,,,,,,turbinate,,2.5,3.1,,mm,1.2,,,mm,,1,,,mm,8,,4.5,6.5,,mm,pink,,,,,
Mimosa antrorsa,Mimosa_antrorsa,Barneby_1991_Sensitivae_Censitae_treatment_0395.txt,7/9/2025 18:30,1,Shrubs and treelets,,,2,4,,m,,,,,,,,,,,,,,capitula,globose or plumpy ovoid,,,,,,7.5,,10,,mm,pseudoracemose,12,15,30,,mm,,,,,,4-merous,,,,,,,,,,,campanulate,,0.5,0.6,,mm,,,,,,funnelform,,3,3.8,,mm,1.1,1.4,,mm,,,,,,8,,4,5.5,,mm,,,,,,
Mimosa adenotricha,Mimosa_adenotricha,Barneby_1991_Sensitivae_Censitae_treatment_0396.txt,7/9/2025 18:31,1,Shrubs,,,,2,,m,,,,,,,,,,,,,,capitula,subglobose,,,,,,8,8,11,11,mm,pseudoracemose,1,2,3,,cm,,,,,,4-merous,,,,,,,,,,,campanulate,,0.5,0.9,,mm,,,,,,narrowly funnelform,,3.4,4.2,,mm,1.2,,,mm,,,,,,8,,8.5,10.5,,mm,pink,,,,,
Mimosa albolanata,Mimosa_albolanata,Barneby_1991_Sensitivae_Censitae_treatment_0397.txt,7/9/2025 18:32,1,subshrubs,xylopodium,,,,,,,,,,,,,,,,,,,capitula,broadly ovoid or globose,,10,16,,mm,,10,16,,mm,,0,,4.5,7,cm,,,,,,4-merous,,,,,,,,,,,,,0.3,0.8,1.5,mm,,,,,,,3.5,4,6,,mm,,,,,,,,,,8,7.5,8,14.5,,mm,pink,,,,,
Mimosa albolanata var. brasiliana,Mimosa_albolanata_brasiliana,Barneby_1991_Sensitivae_Censitae_treatment_0398.txt,7/9/2025 18:33,2,,,3,5,10,,dm,,,,,,,,,,,,,,capitula,,,,,,,12,13,15,,mm,,,3,5,10,dm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa albolanata var. albolanata,Mimosa_albolanata_albolanata,Barneby_1991_Sensitivae_Censitae_treatment_0399.txt,7/9/2025 18:35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa albolanata var. paucipinna,Mimosa_albolanata_paucipinna,Barneby_1991_Sensitivae_Censitae_treatment_0400.txt,7/9/2025 18:36,2,subshrubs,xylopodium,,,,,,,,,,,,,,,,,,,capituda,,,10,14,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa albolanata var. grossiceps,Mimosa_albolanata_grossiceps,Barneby_1991_Sensitivae_Censitae_treatment_0401.txt,7/9/2025 18:37,0,,,,,,,,,,,,,,,,,,,,,capitula,,,,,,,15,15,16,16,mm,scapiform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,6,,mm,,,,,,,,,,,,,,,,,,,,,
Mimosa eriorrhachis,Mimosa_eriorrhachis,Barneby_1991_Sensitivae_Censitae_treatment_0402.txt,7/9/2025 18:38,0,subshrubs,knotty xylopodium,,,1,,dm,,,,,,,,,,,,,,capitula,subglobose,11,11,14,14,mm,,,,,,,,,1.5,,cm,,,,,,4-merous,,,1.5,,cm,,,,,,turbinate,,0.6,1.5,,mm,,,,,,narrowly funnelform,4.5,4.5,5.5,5.5,mm,1.4,1.7,1.7,mm,1,1,1.3,1.3,mm,8,,11,17,,mm,lilac-pink,,,,,
Mimosa cryptothamnos,Mimosa_cryptothamnos,Barneby_1991_Sensitivae_Censitae_treatment_0403.txt,7/9/2025 18:39,1,shrubs,,,,,,,,,,,,,,,,,,,,capitula,globose or squatly ellipsoid,,,1,,cm,,1,1,,cm,,1.5,,2,,cm,,,,,,4-merous,,,,,,,,,,,campanulate,,0.35,0.5,,mm,,,,,,funnelform,,4.5,5,,mm,1.2,1.8,,mm,,,,,,8,,9,10,,mm,pink,,,,,
Mimosa claussenii,Mimosa_claussenii,Barneby_1991_Sensitivae_Censitae_treatment_0404.txt,7/9/2025 18:40,1,shrubs,,,1,2.5,,m,,,,,,,,,,,,,,capitula,globose or ellipsoid,11,13,21,25,mm,11,13,21,25,mm,paniculate,2.5,3,15,20,cm,,,,,,4-5-merous,,,,,,,,,,,,,,,,,,,,,,narrowly cylindric-vase-shaped,,4,8,10,mm,1.6,4,,mm,,,,,,,10,13,27,,mm,pink or lilac fading whitish,,,,,
Mimosa claussenii var. claussenii,Mimosa_claussenii_claussenii,Barneby_1991_Sensitivae_Censitae_treatment_0405.txt,7/9/2025 18:42,0,arborescent,,,1,1,,m,,,,,,,,,,,,,,capitula,globose or plumply ellipsoid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,7.5,9,mm,,,,,,,,,,,,,,,,,,,,,
Mimosa claussenii var. prorsiseta,Mimosa_claussenii_prorsiseta,Barneby_1991_Sensitivae_Censitae_treatment_0406.txt,7/9/2025 18:43,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa claussenii var. corneiseta,Mimosa_claussenii_corneiseta,Barneby_1991_Sensitivae_Censitae_treatment_0407.txt,7/9/2025 18:44,0,treefets,,3.5,3.5,4,4,m,,,,,,,,,,,,,,capitula,,,11,13,20,mm,,,,,,,3,3,9,9,cm,,,,,,,,3,9,,cm,,,,,,,,,,,,,,,,,,,6,8.5,,mm,,,,,,,,,,,,,,,,,,,,,
Mimosa claussenii var. vespertilionis,Mimosa_claussenii_vespertilionis,Barneby_1991_Sensitivae_Censitae_treatment_0408.txt,7/9/2025 18:45,0,Shrubs,,,1.5,,,m,,,,,,,,,,,,,,capitula,globose,,14,14,,mm,,,,,,,4.5,,7,,cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8,,mm,,,,,,,,,,,,,,14,mm,,,,,,
Mimosa claussenii var. megistophylla,Mimosa_claussenii_megistophylla,Barneby_1991_Sensitivae_Censitae_treatment_0409.txt,7/9/2025 18:46,2,herbaceous,woody rootstock,,,1,,m,,,,,,,,,,,,,,capitula,,,11,16,,mm,,,,,,multicapitulate panicle of pseudoracemes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,6,6,mm,,,,,,,,,,,,,,,,,,,,,
Mimosa claussenii var. soderstromii,Mimosa_claussenii_soderstromii,Barneby_1991_Sensitivae_Censitae_treatment_0410.txt,7/9/2025 18:47,0,shrubs,,,4,6,,dm,,,,,,,,,,,,,,capitula,subglobose,,15,20,,mm,,,,,,pseudoraceme,7,7,15,15,cm,,,,,,,7,,15,,cm,,,,,,,,,,,,,,,,,,5.5,6,8,,mm,,,,,,,,,,,,,,,,,,,,,
Mimosa claussenii var. microphyllidia,Mimosa_claussenii_microphyllidia,Barneby_1991_Sensitivae_Censitae_treatment_0411.txt,7/9/2025 18:48,2,shrubs,,,1.5,3,,m,,,,,,,,,,,,,,capituia,,,10,15,,mm,,,,,,,3,5,11.5,,cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,,mm,,,,,,,,,,,,,,,,,,,,,
Mimosa claussenii var. pumila,Mimosa_claussenii_pumila,Barneby_1991_Sensitivae_Censitae_treatment_0412.txt,7/9/2025 18:49,0,subshrubs,woody caudex-branches,,2.5,4,,dm,,,,,,,,,,,,,,capitula,,,,13,,mm,,,,,,,,2.5,6,,cm,,,,,,,,2.5,6,,cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa claussenii var. claviceps,Mimosa_claussenii_claviceps,Barneby_1991_Sensitivae_Censitae_treatment_0413.txt,7/9/2025 18:50,2,arbuscula,,,3,,,m,,,,,,,,,,,,,,capitula,oblong-ellipsoid,35,80,,,mm,24,,,,mm,,11,11,16,16,cm,,,,,,"5-merous, 4-merous",,11,16,,cm,,,,,,,,,,,,,,,,,,,7,7,,mm,,,,,,,,,,,,,,,mm,,,,,,
Mimosa claussenii var. dolichopoda,Mimosa_claussenii_dolichopoda,Barneby_1991_Sensitivae_Censitae_treatment_0414.txt,7/9/2025 18:51,0,,,,,,,,,,,,,,,,,,,,,capitula,ellipsoideis,4,,5,,cm,2.3,,2.7,,cm,,,12,20,,cm,,,,,,,12,12,20,20,cm,,,,,,,,,,,,,,,,,campanulate,,5.5,5.5,,mm,,,,,,,,,,,,,,,,,,,,,
Mimosa gardneri,Mimosa_gardneri,Barneby_1991_Sensitivae_Censitae_treatment_0415.txt,7/9/2025 18:52,0,arborescent,,,2,2.6,,m,no spicules or paraphyllidia,leaf-stalks,,,,,,,,,,,,capitula,globose,2,2,3.5,,dm,12,12,13,13,mm,pseudoraceme,1,,2.5,,cm,,,,,,,,1,2.5,,cm,,,,,,,,2,2,,mm,,,,,,narrowly vase-shaped,5,5,6,6,mm,2,2,,mm,,1,1,,mm,,,12,12,,mm,pink,,,,,
Mimosa stylosa,Mimosa_stylosa,Barneby_1991_Sensitivae_Censitae_treatment_0416.txt,7/9/2025 18:54,1,Shrubs,,,0.7,2,,m,,,,,,,,,,,,,,capitula,ellipsoid,14,14,25,25,mm,11,11,13,13,mm,pseudoraceme,,2,3,,cm,,,,,,4-merous,,,,,,,,,,,,,0.5,0.7,,mm,,,,,,,,5,6,,mm,,,,,,,,,,8,,11,16,,mm,pink,,22,28,,mm
Mimosa rheiptera,Mimosa_rheiptera,Barneby_1991_Sensitivae_Censitae_treatment_0417.txt,7/9/2025 18:55,1,Trees,,,,4,,m,,,,,,,,,,,,,,capitula,subglobose,,13,14,,mm,,13,14,,mm,pseudoraceme,5,5,8,8,cm,,,,,,4-merous,,,,,,,,,,,,,,,,,,,,,,,,5,6,,mm,1,,,mm,,,,,,8,,17,,,mm,pink,,,,,
Mimosa struthionoptera,Mimosa_struthionoptera,Barneby_1991_Sensitivae_Censitae_treatment_0418.txt,7/9/2025 18:56,0,tree,,,4,,,m,present,foliage,,,,,mm,,,,,,,,,,,,,,,,,,,,4,,5,,cm,,,,,,,,,,,,,,,,,shallowly campanulate,,0.4,,0.8,mm,,,,,,slenderly funnelform,5,5,6,6,mm,1,1,,mm,,,,,,,,11,11,,mm,pale pink,,,,,
Mimosa longepedunculata,Mimosa_longepedunculata,Barneby_1991_Sensitivae_Censitae_treatment_0419.txt,7/9/2025 18:57,1,shrubs,,,2,4,5,dm,,,,,,,,,,,,,,capitula,ovoid-ellipsoid or subglobose,,11,13,14,mm,,11,13,14,mm,,4.5,6,17,19,cm,,,,,,4-merous,,,,,,,,,,,campanulate,,0.5,1,1.2,mm,,,,,,narrowly funnelform,4.2,5,6,,mm,1.5,,,mm,,,,,,8,,9,14.5,,mm,pale pink-lavender,,,,,
Mimosa setosissima,Mimosa_setosissima,Barneby_1991_Sensitivae_Censitae_treatment_0420.txt,7/9/2025 18:59,1,Arborescent shrubs,,,,3,,m,,,,,,,,,,,,,,capitula,subglobose,,13,14,14,mm,,13,14,,mm,paniculate,3.5,4,6.5,,cm,,,,,,4-merous,,,,,,,,,,,,,,0.8,,mm,,,,,,narrowly tubularfunnelform,,6,6.5,,mm,1,,,mm,,,,,,8,,8,,,mm,pink,,,,,
Mimosa decorticans,Mimosa_decorticans,Barneby_1991_Sensitivae_Censitae_treatment_0421.txt,7/9/2025 19:00,1,arborescent shrubs and treelets,,,2,3.5,,m,,,,,,,,,,,,,,capitula,globose or squatly ovoid-ellipsoid,,10,12,,mm,10,10,12,12,mm,pseudoraceme,,2.5,5,,cm,,,,,,4-merous,,,,,,,,,,,,,0.6,1,,mm,,,,,,narrowly funnelform,,3,5.5,,mm,1,1.3,,mm,,,,,,8,,9,15,,mm,pink fading whitish,,,,,
Mimosa heringeri,Mimosa_heringeri,Barneby_1991_Sensitivae_Censitae_treatment_0422.txt,7/9/2025 19:01,1,shrubs and treelets,,2.5,,4,,m,,,,,,,,,,,,,,capitula,ellipsoid,,10,13,13,mm,,10,13,,mm,pseudoraceme,,5,8,,cm,,,,,,4-merous,,,,,,,,,,,,,,0.5,,mm,,,,,,,,4.8,5.4,,mm,1.2,1.5,,mm,,,,,,8,,9,17,,mm,pinkish-lavender fading whitish,,,,,
Mimosa densa,Mimosa_densa,Barneby_1991_Sensitivae_Censitae_treatment_0423.txt,7/9/2025 19:02,1,arborescent shrubs,,,2,4,,m,,,,,,,,,,,,,,capitula,ovoid or globose,,8,10,,mm,8,8,10,10,mm,paniculate,,2,5,,cm,,,,,,4-merous,,,,,,,,,,,pappiform,,,,,,,,,,,narrowly turbinate or funnelform,3,3.3,3.8,,mm,0.7,1.2,,mm,,,,,,8,,6,9.5,,mm,pink,,,,,
Mimosa densa var. densa,Mimosa_densa_densa,Barneby_1991_Sensitivae_Censitae_treatment_0424.txt,7/9/2025 19:03,2,,,,1200,1800,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa densa var. alligantina,Mimosa_densa_alligantina,Barneby_1991_Sensitivae_Censitae_treatment_0425.txt,7/9/2025 19:04,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa laniceps,Mimosa_laniceps,Barneby_1991_Sensitivae_Censitae_treatment_0426.txt,7/9/2025 19:05,1,arborescent shrubs,,,12,15,,dm,,,,,,,,,,,,,,capitula,plumply ovoid-subglobose,,12,15,,mm,12,12,15,15,mm,pseudoraceme,,2,5,6,cm,,,,,,4-merous,,,,,,,,,,,campanulate,,0.5,0.8,,mm,,,,,,narrowly funnelform,,5.5,6.3,,mm,1.4,2,,mm,,,,,,8,13,14,18,,mm,pink fading whitish,,,,,
